Time,Scale
2.618,-2.59709
2.62,-2.60285
2.622,-2.60863
2.624,-2.61442
2.626,-2.62022
2.628,-2.62604
2.63,-2.63188
2.632,-2.63772
2.634,-2.64359
2.636,-2.64947
2.638,-2.65536
2.64,-2.66126
2.642,-2.66718
2.644,-2.67311
2.646,-2.67906
2.648,-2.68501
2.65,-2.69098
2.652,-2.69696
2.654,-2.70296
2.656,-2.70896
2.658,-2.71498
2.66,-2.72101
2.662,-2.72705
2.664,-2.7331
2.666,-2.73916
2.668,-2.74523
2.67,-2.75131
2.672,-2.7574
2.674,-2.7635
2.676,-2.76961
2.678,-2.77573
2.68,-2.78186
2.682,-2.78799
2.684,-2.79414
2.686,-2.80029
2.688,-2.80645
2.69,-2.81262
2.692,-2.81879
2.694,-2.82498
2.696,-2.83117
2.698,-2.83736
2.7,-2.84357
2.702,-2.84977
2.704,-2.85599
2.706,-2.86221
2.708,-2.86844
2.71,-2.87467
2.712,-2.8809
2.714,-2.88714
2.716,-2.89339
2.718,-2.89964
2.72,-2.90589
2.722,-2.91215
2.724,-2.91841
2.726,-2.92467
2.728,-2.93094
2.73,-2.93721
2.732,-2.94348
2.734,-2.94976
2.736,-2.95603
2.738,-2.96231
2.74,-2.96859
2.742,-2.97487
2.744,-2.98115
2.746,-2.98743
2.748,-2.99372
2.75,-3
2.752,-3.00628
2.754,-3.01257
2.756,-3.01885
2.758,-3.02513
2.76,-3.03141
2.762,-3.03769
2.764,-3.04397
2.766,-3.05024
2.768,-3.05652
2.77,-3.06279
2.772,-3.06906
2.774,-3.07533
2.776,-3.08159
2.778,-3.08785
2.78,-3.09411
2.782,-3.10036
2.784,-3.10661
2.786,-3.11286
2.788,-3.1191
2.79,-3.12533
2.792,-3.13156
2.794,-3.13779
2.796,-3.14401
2.798,-3.15023
2.8,-3.15643
2.802,-3.16264
2.804,-3.16883
2.806,-3.17502
2.808,-3.18121
2.81,-3.18738
2.812,-3.19355
2.814,-3.19971
2.816,-3.20586
2.818,-3.21201
2.82,-3.21814
2.822,-3.22427
2.824,-3.23039
2.826,-3.2365
2.828,-3.2426
2.83,-3.24869
2.832,-3.25477
2.834,-3.26084
2.836,-3.2669
2.838,-3.27295
2.84,-3.27899
2.842,-3.28502
2.844,-3.29104
2.846,-3.29704
2.848,-3.30304
2.85,-3.30902
2.852,-3.31499
2.854,-3.32094
2.856,-3.32689
2.858,-3.33282
2.86,-3.33874
2.862,-3.34464
2.864,-3.35053
2.866,-3.35641
2.868,-3.36228
2.87,-3.36812
2.872,-3.37396
2.874,-3.37978
2.876,-3.38558
2.878,-3.39137
2.88,-3.39715
2.882,-3.40291
2.884,-3.40865
2.886,-3.41438
2.888,-3.42009
2.89,-3.42578
2.892,-3.43146
2.894,-3.43712
2.896,-3.44276
2.898,-3.44838
2.9,-3.45399
2.902,-3.45958
2.904,-3.46515
2.906,-3.4707
2.908,-3.47624
2.91,-3.48175
2.912,-3.48725
2.914,-3.49273
2.916,-3.49819
2.918,-3.50362
2.92,-3.50904
2.922,-3.51444
2.924,-3.51982
2.926,-3.52517
2.928,-3.53051
2.93,-3.53583
2.932,-3.54112
2.934,-3.54639
2.936,-3.55165
2.938,-3.55688
2.94,-3.56208
2.942,-3.56727
2.944,-3.57243
2.946,-3.57757
2.948,-3.58269
2.95,-3.58779
2.952,-3.59286
2.954,-3.5979
2.956,-3.60293
2.958,-3.60793
2.96,-3.61291
2.962,-3.61786
2.964,-3.62279
2.966,-3.62769
2.968,-3.63257
2.97,-3.63742
2.972,-3.64225
2.974,-3.64706
2.976,-3.65183
2.978,-3.65659
2.98,-3.66131
2.982,-3.66601
2.984,-3.67069
2.986,-3.67533
2.988,-3.67995
2.99,-3.68455
2.992,-3.68911
2.994,-3.69365
2.996,-3.69817
2.998,-3.70265
3,-3.70711
3.002,-3.71154
3.004,-3.71594
3.006,-3.72031
3.008,-3.72465
3.01,-3.72897
3.012,-3.73326
3.014,-3.73751
3.016,-3.74174
3.018,-3.74594
3.02,-3.75011
3.022,-3.75425
3.024,-3.75836
3.026,-3.76244
3.028,-3.76649
3.03,-3.77051
3.032,-3.7745
3.034,-3.77846
3.036,-3.78239
3.038,-3.78629
3.04,-3.79016
3.042,-3.79399
3.044,-3.79779
3.046,-3.80157
3.048,-3.80531
3.05,-3.80902
3.052,-3.81269
3.054,-3.81634
3.056,-3.81995
3.058,-3.82353
3.06,-3.82708
3.062,-3.8306
3.064,-3.83408
3.066,-3.83753
3.068,-3.84094
3.07,-3.84433
3.072,-3.84768
3.074,-3.85099
3.076,-3.85428
3.078,-3.85753
3.08,-3.86074
3.082,-3.86392
3.084,-3.86707
3.086,-3.87018
3.088,-3.87326
3.09,-3.87631
3.092,-3.87932
3.094,-3.88229
3.096,-3.88523
3.098,-3.88814
3.1,-3.89101
3.102,-3.89384
3.104,-3.89664
3.106,-3.89941
3.108,-3.90213
3.11,-3.90483
3.112,-3.90748
3.114,-3.91011
3.116,-3.91269
3.118,-3.91524
3.12,-3.91775
3.122,-3.92023
3.124,-3.92267
3.126,-3.92508
3.128,-3.92745
3.13,-3.92978
3.132,-3.93207
3.134,-3.93433
3.136,-3.93655
3.138,-3.93873
3.14,-3.94088
3.142,-3.94299
3.144,-3.94506
3.146,-3.9471
3.148,-3.9491
3.15,-3.95106
3.152,-3.95298
3.154,-3.95486
3.156,-3.95671
3.158,-3.95852
3.16,-3.96029
3.162,-3.96203
3.164,-3.96372
3.166,-3.96538
3.168,-3.967
3.17,-3.96858
3.172,-3.97013
3.174,-3.97163
3.176,-3.9731
3.178,-3.97453
3.18,-3.97592
3.182,-3.97727
3.184,-3.97858
3.186,-3.97986
3.188,-3.98109
3.19,-3.98229
3.192,-3.98345
3.194,-3.98456
3.196,-3.98564
3.198,-3.98669
3.2,-3.98769
3.202,-3.98865
3.204,-3.98958
3.206,-3.99046
3.208,-3.99131
3.21,-3.99211
3.212,-3.99288
3.214,-3.99361
3.216,-3.9943
3.218,-3.99495
3.22,-3.99556
3.222,-3.99613
3.224,-3.99667
3.226,-3.99716
3.228,-3.99761
3.23,-3.99803
3.232,-3.9984
3.234,-3.99874
3.236,-3.99903
3.238,-3.99929
3.24,-3.99951
3.242,-3.99968
3.244,-3.99982
3.246,-3.99992
3.248,-3.99998
3.25,-4
3.252,-3.99998
3.254,-3.99992
3.256,-3.99982
3.258,-3.99968
3.26,-3.99951
3.262,-3.99929
3.264,-3.99903
3.266,-3.99874
3.268,-3.9984
3.27,-3.99803
3.272,-3.99761
3.274,-3.99716
3.276,-3.99667
3.278,-3.99613
3.28,-3.99556
3.282,-3.99495
3.284,-3.9943
3.286,-3.99361
3.288,-3.99288
3.29,-3.99211
3.292,-3.99131
3.294,-3.99046
3.296,-3.98958
3.298,-3.98865
3.3,-3.98769
3.302,-3.98669
3.304,-3.98564
3.306,-3.98456
3.308,-3.98345
3.31,-3.98229
3.312,-3.98109
3.314,-3.97986
3.316,-3.97858
3.318,-3.97727
3.32,-3.97592
3.322,-3.97453
3.324,-3.9731
3.326,-3.97163
3.328,-3.97013
3.33,-3.96858
3.332,-3.967
3.334,-3.96538
3.336,-3.96372
3.338,-3.96203
3.34,-3.96029
3.342,-3.95852
3.344,-3.95671
3.346,-3.95486
3.348,-3.95298
3.35,-3.95106
3.352,-3.9491
3.354,-3.9471
3.356,-3.94506
3.358,-3.94299
3.36,-3.94088
3.362,-3.93873
3.364,-3.93655
3.366,-3.93433
3.368,-3.93207
3.37,-3.92978
3.372,-3.92745
3.374,-3.92508
3.376,-3.92267
3.378,-3.92023
3.38,-3.91775
3.382,-3.91524
3.384,-3.91269
3.386,-3.91011
3.388,-3.90748
3.39,-3.90483
3.392,-3.90213
3.394,-3.89941
3.396,-3.89664
3.398,-3.89384
3.4,-3.89101
3.402,-3.88814
3.404,-3.88523
3.406,-3.88229
3.408,-3.87932
3.41,-3.87631
3.412,-3.87326
3.414,-3.87018
3.416,-3.86707
3.418,-3.86392
3.42,-3.86074
3.422,-3.85753
3.424,-3.85428
3.426,-3.85099
3.428,-3.84768
3.43,-3.84433
3.432,-3.84094
3.434,-3.83753
3.436,-3.83408
3.438,-3.8306
3.44,-3.82708
3.442,-3.82353
3.444,-3.81995
3.446,-3.81634
3.448,-3.81269
3.45,-3.80902
3.452,-3.80531
3.454,-3.80157
3.456,-3.79779
3.458,-3.79399
3.46,-3.79016
3.462,-3.78629
3.464,-3.78239
3.466,-3.77846
3.468,-3.7745
3.47,-3.77051
3.472,-3.76649
3.474,-3.76244
3.476,-3.75836
3.478,-3.75425
3.48,-3.75011
3.482,-3.74594
3.484,-3.74174
3.486,-3.73751
3.488,-3.73326
3.49,-3.72897
3.492,-3.72465
3.494,-3.72031
3.496,-3.71594
3.498,-3.71154
3.5,-3.70711
3.502,-3.70265
3.504,-3.69817
3.506,-3.69365
3.508,-3.68911
3.51,-3.68455
3.512,-3.67995
3.514,-3.67533
3.516,-3.67069
3.518,-3.66601
3.52,-3.66131
3.522,-3.65659
3.524,-3.65183
3.526,-3.64706
3.528,-3.64225
3.53,-3.63742
3.532,-3.63257
3.534,-3.62769
3.536,-3.62279
3.538,-3.61786
3.54,-3.61291
3.542,-3.60793
3.544,-3.60293
3.546,-3.5979
3.548,-3.59286
3.55,-3.58779
3.552,-3.58269
3.554,-3.57757
3.556,-3.57243
3.558,-3.56727
3.56,-3.56208
3.562,-3.55688
3.564,-3.55165
3.566,-3.54639
3.568,-3.54112
3.57,-3.53583
3.572,-3.53051
3.574,-3.52517
3.576,-3.51982
3.578,-3.51444
3.58,-3.50904
3.582,-3.50362
3.584,-3.49819
3.586,-3.49273
3.588,-3.48725
3.59,-3.48175
3.592,-3.47624
3.594,-3.4707
3.596,-3.46515
3.598,-3.45958
3.6,-3.45399
3.602,-3.44838
3.604,-3.44276
3.606,-3.43712
3.608,-3.43146
3.61,-3.42578
3.612,-3.42009
3.614,-3.41438
3.616,-3.40865
3.618,-3.40291
3.62,-3.39715
3.622,-3.39137
3.624,-3.38558
3.626,-3.37978
3.628,-3.37396
3.63,-3.36812
3.632,-3.36228
3.634,-3.35641
3.636,-3.35053
3.638,-3.34464
3.64,-3.33874
3.642,-3.33282
3.644,-3.32689
3.646,-3.32094
3.648,-3.31499
3.65,-3.30902
3.652,-3.30304
3.654,-3.29704
3.656,-3.29104
3.658,-3.28502
3.66,-3.27899
3.662,-3.27295
3.664,-3.2669
3.666,-3.26084
3.668,-3.25477
3.67,-3.24869
3.672,-3.2426
3.674,-3.2365
3.676,-3.23039
3.678,-3.22427
3.68,-3.21814
3.682,-3.21201
3.684,-3.20586
3.686,-3.19971
3.688,-3.19355
3.69,-3.18738
3.692,-3.18121
3.694,-3.17502
3.696,-3.16883
3.698,-3.16264
3.7,-3.15643
3.702,-3.15023
3.704,-3.14401
3.706,-3.13779
3.708,-3.13156
3.71,-3.12533
3.712,-3.1191
3.714,-3.11286
3.716,-3.10661
3.718,-3.10036
3.72,-3.09411
3.722,-3.08785
3.724,-3.08159
3.726,-3.07533
3.728,-3.06906
3.73,-3.06279
3.732,-3.05652
3.734,-3.05024
3.736,-3.04397
3.738,-3.03769
3.74,-3.03141
3.742,-3.02513
3.744,-3.01885
3.746,-3.01257
3.748,-3.00628
3.75,-3
3.752,-2.99372
3.754,-2.98743
3.756,-2.98115
3.758,-2.97487
3.76,-2.96859
3.762,-2.96231
3.764,-2.95603
3.766,-2.94976
3.768,-2.94348
3.77,-2.93721
3.772,-2.93094
3.774,-2.92467
3.776,-2.91841
3.778,-2.91215
3.78,-2.90589
3.782,-2.89964
3.784,-2.89339
3.786,-2.88714
3.788,-2.8809
3.79,-2.87467
3.792,-2.86844
3.794,-2.86221
3.796,-2.85599
3.798,-2.84977
3.8,-2.84357
3.802,-2.83736
3.804,-2.83117
3.806,-2.82498
3.808,-2.81879
3.81,-2.81262
3.812,-2.80645
3.814,-2.80029
3.816,-2.79414
3.818,-2.78799
3.82,-2.78186
3.822,-2.77573
3.824,-2.76961
3.826,-2.7635
3.828,-2.7574
3.83,-2.75131
3.832,-2.74523
3.834,-2.73916
3.836,-2.7331
3.838,-2.72705
3.84,-2.72101
3.842,-2.71498
3.844,-2.70896
3.846,-2.70296
3.848,-2.69696
3.85,-2.69098
3.852,-2.68501
3.854,-2.67906
3.856,-2.67311
3.858,-2.66718
3.86,-2.66126
3.862,-2.65536
3.864,-2.64947
3.866,-2.64359
3.868,-2.63772
3.87,-2.63188
3.872,-2.62604
3.874,-2.62022
3.876,-2.61442
3.878,-2.60863
3.88,-2.60285
3.882,-2.59709
3.884,-2.59135
3.886,-2.58562
3.888,-2.57991
3.89,-2.57422
3.892,-2.56854
3.894,-2.56288
3.896,-2.55724
3.898,-2.55162
3.9,-2.54601
3.902,-2.54042
3.904,-2.53485
3.906,-2.5293
3.908,-2.52376
3.91,-2.51825
3.912,-2.51275
3.914,-2.50727
3.916,-2.50181
3.918,-2.49638
3.92,-2.49096
3.922,-2.48556
3.924,-2.48018
3.926,-2.47483
3.928,-2.46949
3.93,-2.46417
3.932,-2.45888
3.934,-2.45361
3.936,-2.44835
3.938,-2.44312
3.94,-2.43792
3.942,-2.43273
3.944,-2.42757
3.946,-2.42243
3.948,-2.41731
3.95,-2.41221
3.952,-2.40714
3.954,-2.4021
3.956,-2.39707
3.958,-2.39207
3.96,-2.38709
3.962,-2.38214
3.964,-2.37721
3.966,-2.37231
3.968,-2.36743
3.97,-2.36258
3.972,-2.35775
3.974,-2.35294
3.976,-2.34817
3.978,-2.34341
3.98,-2.33869
3.982,-2.33399
3.984,-2.32931
3.986,-2.32467
3.988,-2.32005
3.99,-2.31545
3.992,-2.31089
3.994,-2.30635
3.996,-2.30183
3.998,-2.29735
4,-2.29289
4.002,-2.28846
4.004,-2.28406
4.006,-2.27969
4.008,-2.27535
4.01,-2.27103
4.012,-2.26674
4.014,-2.26249
4.016,-2.25826
4.018,-2.25406
4.02,-2.24989
4.022,-2.24575
4.024,-2.24164
4.026,-2.23756
4.028,-2.23351
4.03,-2.22949
4.032,-2.2255
4.034,-2.22154
4.036,-2.21761
4.038,-2.21371
4.04,-2.20984
4.042,-2.20601
4.044,-2.20221
4.046,-2.19843
4.048,-2.19469
4.05,-2.19098
4.052,-2.18731
4.054,-2.18366
4.056,-2.18005
4.058,-2.17647
4.06,-2.17292
4.062,-2.1694
4.064,-2.16592
4.066,-2.16247
4.068,-2.15906
4.07,-2.15567
4.072,-2.15232
4.074,-2.14901
4.076,-2.14572
4.078,-2.14247
4.08,-2.13926
4.082,-2.13608
4.084,-2.13293
4.086,-2.12982
4.088,-2.12674
4.09,-2.12369
4.092,-2.12068
4.094,-2.11771
4.096,-2.11477
4.098,-2.11186
4.1,-2.10899
4.102,-2.10616
4.104,-2.10336
4.106,-2.10059
4.108,-2.09787
4.11,-2.09517
4.112,-2.09252
4.114,-2.08989
4.116,-2.08731
4.118,-2.08476
4.12,-2.08225
4.122,-2.07977
4.124,-2.07733
4.126,-2.07492
4.128,-2.07255
4.13,-2.07022
4.132,-2.06793
4.134,-2.06567
4.136,-2.06345
4.138,-2.06127
4.14,-2.05912
4.142,-2.05701
4.144,-2.05494
4.146,-2.0529
4.148,-2.0509
4.15,-2.04894
4.152,-2.04702
4.154,-2.04514
4.156,-2.04329
4.158,-2.04148
4.16,-2.03971
4.162,-2.03797
4.164,-2.03628
4.166,-2.03462
4.168,-2.033
4.17,-2.03142
4.172,-2.02987
4.174,-2.02837
4.176,-2.0269
4.178,-2.02547
4.18,-2.02408
4.182,-2.02273
4.184,-2.02142
4.186,-2.02014
4.188,-2.01891
4.19,-2.01771
4.192,-2.01655
4.194,-2.01544
4.196,-2.01436
4.198,-2.01331
4.2,-2.01231
4.202,-2.01135
4.204,-2.01042
4.206,-2.00954
4.208,-2.00869
4.21,-2.00789
4.212,-2.00712
4.214,-2.00639
4.216,-2.0057
4.218,-2.00505
4.22,-2.00444
4.222,-2.00387
4.224,-2.00333
4.226,-2.00284
4.228,-2.00239
4.23,-2.00197
4.232,-2.0016
4.234,-2.00126
4.236,-2.00097
4.238,-2.00071
4.24,-2.00049
4.242,-2.00032
4.244,-2.00018
4.246,-2.00008
4.248,-2.00002
4.25,-2
4.252,-2.00002
4.254,-2.00008
4.256,-2.00018
4.258,-2.00032
4.26,-2.00049
4.262,-2.00071
4.264,-2.00097
4.266,-2.00126
4.268,-2.0016
4.27,-2.00197
4.272,-2.00239
4.274,-2.00284
4.276,-2.00333
4.278,-2.00387
4.28,-2.00444
4.282,-2.00505
4.284,-2.0057
4.286,-2.00639
4.288,-2.00712
4.29,-2.00789
4.292,-2.00869
4.294,-2.00954
4.296,-2.01042
4.298,-2.01135
4.3,-2.01231
4.302,-2.01331
4.304,-2.01436
4.306,-2.01544
4.308,-2.01655
4.31,-2.01771
4.312,-2.01891
4.314,-2.02014
4.316,-2.02142
4.318,-2.02273
4.32,-2.02408
4.322,-2.02547
4.324,-2.0269
4.326,-2.02837
4.328,-2.02987
4.33,-2.03142
4.332,-2.033
4.334,-2.03462
4.336,-2.03628
4.338,-2.03797
4.34,-2.03971
4.342,-2.04148
4.344,-2.04329
4.346,-2.04514
4.348,-2.04702
4.35,-2.04894
4.352,-2.0509
4.354,-2.0529
4.356,-2.05494
4.358,-2.05701
4.36,-2.05912
4.362,-2.06127
4.364,-2.06345
4.366,-2.06567
4.368,-2.06793
4.37,-2.07022
4.372,-2.07255
4.374,-2.07492
4.376,-2.07733
4.378,-2.07977
4.38,-2.08225
4.382,-2.08476
4.384,-2.08731
4.386,-2.08989
4.388,-2.09252
4.39,-2.09517
4.392,-2.09787
4.394,-2.10059
4.396,-2.10336
4.398,-2.10616
4.4,-2.10899
4.402,-2.11186
4.404,-2.11477
4.406,-2.11771
4.408,-2.12068
4.41,-2.12369
4.412,-2.12674
4.414,-2.12982
4.416,-2.13293
4.418,-2.13608
4.42,-2.13926
4.422,-2.14247
4.424,-2.14572
4.426,-2.14901
4.428,-2.15232
4.43,-2.15567
4.432,-2.15906
4.434,-2.16247
4.436,-2.16592
4.438,-2.1694
4.44,-2.17292
4.442,-2.17647
4.444,-2.18005
4.446,-2.18366
4.448,-2.18731
4.45,-2.19098
4.452,-2.19469
4.454,-2.19843
4.456,-2.20221
4.458,-2.20601
4.46,-2.20984
4.462,-2.21371
4.464,-2.21761
4.466,-2.22154
4.468,-2.2255
4.47,-2.22949
4.472,-2.23351
4.474,-2.23756
4.476,-2.24164
4.478,-2.24575
4.48,-2.24989
4.482,-2.25406
4.484,-2.25826
4.486,-2.26249
4.488,-2.26674
4.49,-2.27103
4.492,-2.27535
4.494,-2.27969
4.496,-2.28406
4.498,-2.28846
4.5,-2.29289
4.502,-2.29735
4.504,-2.30183
4.506,-2.30635
4.508,-2.31089
4.51,-2.31545
4.512,-2.32005
4.514,-2.32467
4.516,-2.32931
4.518,-2.33399
4.52,-2.33869
4.522,-2.34341
4.524,-2.34817
4.526,-2.35294
4.528,-2.35775
4.53,-2.36258
4.532,-2.36743
4.534,-2.37231
4.536,-2.37721
4.538,-2.38214
4.54,-2.38709
4.542,-2.39207
4.544,-2.39707
4.546,-2.4021
4.548,-2.40714
4.55,-2.41221
4.552,-2.41731
4.554,-2.42243
4.556,-2.42757
4.558,-2.43273
4.56,-2.43792
4.562,-2.44312
4.564,-2.44835
4.566,-2.45361
4.568,-2.45888
4.57,-2.46417
4.572,-2.46949
4.574,-2.47483
4.576,-2.48018
4.578,-2.48556
4.58,-2.49096
4.582,-2.49638
4.584,-2.50181
4.586,-2.50727
4.588,-2.51275
4.59,-2.51825
4.592,-2.52376
4.594,-2.5293
4.596,-2.53485
4.598,-2.54042
4.6,-2.54601
4.602,-2.55162
4.604,-2.55724
4.606,-2.56288
4.608,-2.56854
4.61,-2.57422
4.612,-2.57991
4.614,-2.58562
4.616,-2.59135
4.618,-2.59709
4.62,-2.60285
4.622,-2.60863
4.624,-2.61442
4.626,-2.62022
4.628,-2.62604
4.63,-2.63188
4.632,-2.63772
4.634,-2.64359
4.636,-2.64947
4.638,-2.65536
4.64,-2.66126
4.642,-2.66718
4.644,-2.67311
4.646,-2.67906
4.648,-2.68501
4.65,-2.69098
4.652,-2.69696
4.654,-2.70296
4.656,-2.70896
4.658,-2.71498
4.66,-2.72101
4.662,-2.72705
4.664,-2.7331
4.666,-2.73916
4.668,-2.74523
4.67,-2.75131
4.672,-2.7574
4.674,-2.7635
4.676,-2.76961
4.678,-2.77573
4.68,-2.78186
4.682,-2.78799
4.684,-2.79414
4.686,-2.80029
4.688,-2.80645
4.69,-2.81262
4.692,-2.81879
4.694,-2.82498
4.696,-2.83117
4.698,-2.83736
4.7,-2.84357
4.702,-2.84977
4.704,-2.85599
4.706,-2.86221
4.708,-2.86844
4.71,-2.87467
4.712,-2.8809
4.714,-2.88714
4.716,-2.89339
4.718,-2.89964
4.72,-2.90589
4.722,-2.91215
4.724,-2.91841
4.726,-2.92467
4.728,-2.93094
4.73,-2.93721
4.732,-2.94348
4.734,-2.94976
4.736,-2.95603
4.738,-2.96231
4.74,-2.96859
4.742,-2.97487
4.744,-2.98115
4.746,-2.98743
4.748,-2.99372
4.75,-3
4.752,-3.00628
4.754,-3.01257
4.756,-3.01885
4.758,-3.02513
4.76,-3.03141
4.762,-3.03769
4.764,-3.04397
4.766,-3.05024
4.768,-3.05652
4.77,-3.06279
4.772,-3.06906
4.774,-3.07533
4.776,-3.08159
4.778,-3.08785
4.78,-3.09411
4.782,-3.10036
4.784,-3.10661
4.786,-3.11286
4.788,-3.1191
4.79,-3.12533
4.792,-3.13156
4.794,-3.13779
4.796,-3.14401
4.798,-3.15023
4.8,-3.15643
